factura_numero,ref,descripcion,cantidad,precio,descuento,importe
52,REF_AUTO_2F43B4,JESÚS MORALES,1.0,79.0,38.0,48.98
34,6292,SUDADERA CLÁSICA TALLA XXXL NEGRO,3.0,16.27,0.0,48.81
32,MULPTHKC32,ANTONIO AGUAYO (MARTOS),10.0,20.58,77.0,47.33399999999999
Líneas de factura de compra,MULPTHKC32,FRANCISCO PORCUNA (ARJONA),10.0,20.58,77.0,47.33399999999999
32,REF_AUTO_2F43B4,DESFANGADOR MAGNÉTICO PLASTICO CON VÁLVULAS FERCO,1.0,76.0,38.0,47.12
73,039F08020SWJ/1,SW PELLETS 316L TUBO 80-1000,3.0,31.4,50.0,47.1
52,6111C1,MEZCLADOR TERMOSTÁTICO 1',1.0,84.0,44.0,47.040000000000006
74,6292,CHALECO NEGRO - XXX,3.0,15.55,0.0,46.650000000000006
68,153376,NICOLÁS,2.0,23.15,0.0,46.3
69,153376,NICOLÁS,2.0,23.15,0.0,46.3
64,DM25VNN,FUENTE TÓJAR,1.0,76.0,40.0,45.6
64,MULPTHKSH3234,FUENTE TÓJAR,8.0,24.72,77.0,45.48479999999999
Líneas de factura de compra,9097,BOMBA SOLAR SLR 25/6-180 II 230 V,1.0,45.0,0.0,45.0
50,SCH5004131,"NICOLÁS CONSTRUCTOR -  CALLE PERPETUO SOCORRO, 28",3.0,29.59,50.0,44.385
7,00205030,VÁLVULA SEGURIDAD 1/2  HH 3 BAR EMMETI,12.0,7.69,52.0,44.2944
47,60325/2,RESISTENCIA ENCENDIDO 260W (2016),1.0,86.8,50.0,43.4
32,REF_AUTO_2F43B4,Mª JOSÉ (GRANADA),1.0,42.7,0.0,42.7
34,6292,LOGO BORDADO PANASONIC EN SUDADERAS,42.0,1.0,0.0,42.0
74,6292,LOGO ESCUDO BORDADO PANASONIC / VITRON ENERGY,14.0,3.0,0.0,42.0
68,140945,JOSE ANTONIO P´REZ MELENDO,1.0,41.9826,0.0,41.9826
69,140945,JOSE ANTONIO P´REZ MELENDO,1.0,41.9826,0.0,41.9826
6,TUP 065200025,TUPERPLAS ENCHUFABLE GRIS 25,57.0,3.16,77.0,41.4276
38,AS06801,BOMBA CONDENSADOS MASTONE,1.0,41.0,0.0,41.0
68,171530,ANASTASIO ( FUENTE TÓJAR),11.0,3.72,0.0,40.92
69,171530,ANASTASIO ( FUENTE TÓJAR),11.0,3.72,0.0,40.92
74,6292,CHALECO SOFTSHELL QUEBEC M NEGRO,3.0,13.46,0.0,40.38
74,6292,CHALECO NEGRO L,3.0,13.46,0.0,40.38
74,6292,CHALECO NEGRO XL,3.0,13.46,0.0,40.38
74,6292,CHALECO NEGRO XXL,3.0,13.46,0.0,40.38
75,MIG 82040101-508208,JAVI C - ALMACÉN,200.0,0.1986,0.0,39.72
75,MIG 82040101-509208,JAVI C - ALMACÉN,200.0,0.1986,0.0,39.72
56,LEG 403630,MANUEL PEINADO,1.0,39.31,0.0,39.31
55,SGF32DC,"PORTAFUSIBLE SECCIONABLE 1P HASTA 35A 1000V DC SIN INDICADOR DE FUSIÓN, MAXGE",24.0,1.628,0.0,39.072
26,TUP 080600025,GRANADA,150.0,0.26,0.0,39.0
52,REF_AUTO_2F43B4,JESÚS MORALES BUSTOS -  LA YEDRA,6.0,14.05,54.0,38.778
64,3038 06,FUENTE TÓJAR,6.0,14.05,54.0,38.778
32,MULPPT3230004,Mª JOSÉ (GRANADA),4.0,20.55,54.0,37.812
52,MULPPT3230004,JESÚS MORALES BUSTOS - LA YEDRA,4.0,20.55,54.0,37.812
64,MULPPT3230004,FUENTE TÓJAR,4.0,20.55,54.0,37.812
47,ACAI-E-BOMB-CONDE-EX,ACADEMIA GUARDIA CIVIL - ÚBEDA,1.0,73.42,50.0,36.71
36,SGIKD10838,CELE,2.85,12.75,0.0,36.3375
12,68867MM,DISPLAY NEGRO DE BOTONES MULTIMARCA,1.0,60.0,40.0,36.0
16,68867MM,DISPLAY NEGRO DE BOTONES MULTIMARCA,1.0,60.0,40.0,36.0
64,MULPTHKRM321,FUENTE TÓJAR,10.0,15.6,77.0,35.879999999999995
14,6291,A4 MONOCROMO Y A4 COLOR,1.0,35.0,0.0,35.0
77,6241,PORTES,1.0,35.0,0.0,35.0
64,MULPTHKRC321,FUENTE TÓJAR,10.0,14.91,77.0,34.293
32,REF_AUTO_2F43B4,Mª JOSÉ (GRANADA),1.0,34.16,0.0,34.16
52,19032005508/1,JESÚS MORALES BUSTOS - LA YEDRA,16.0,5.89,64.0,33.926399999999994
64,19032005508/1,FUENTE TÓJAR,16.0,5.89,64.0,33.926399999999994
68,162550,ALMACÉN,4.0,16.51,50.0,33.02
69,162550,ALMACÉN,4.0,16.51,50.0,33.02
38,AS03251,Mª JOSÉ(GRANADA),6.0,10.95,50.0,32.849999999999994
32,REF_AUTO_2F43B4,ANTONIO AGUAYO (MARTOS),6.0,11.85,54.0,32.706
27,REF_AUTO_2F43B4,VASO DE EXPANSIÓN 8PCS 8 LT,1.0,55.22,41.0,32.579800000000006
38,MT01569,ASPIRADOR DE CENIZAS MT POWER,1.0,32.0,0.0,32.0
64,REF_AUTO_2F43B4,PABLO MARTÍNEZ (CASAS DE JUAN LEÓN),2.0,25.35,38.0,31.434
27,REF_AUTO_2F43B4,Mª JOSÉ (GRANADA),6.0,9.98,48.0,31.137600000000003
27,162557,Mª JOSÉ 8GRANADA),4.0,15.55,50.0,31.1
72,0687440009,ALMACÉN,24.0,1.29,0.0,30.96
68,140919,ANASTASIO (FUENTE TÓJAR),1.0,30.8,0.0,30.8
69,140919,ANASTASIO (FUENTE TÓJAR),1.0,30.8,0.0,30.8
47,VASOACS-18L,LA YEDRA,1.0,61.409,50.0,30.7045
12,60325/2,RESISTENCIA ENCENDIDO 260W (2016),1.0,51.0,40.0,30.6
50,SCH5006005,"NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28",1.0,60.74,50.0,30.37
34,6271,AYUNTAMIENTO GUADAHORTUNA 1500X750MM,1.0,30.0,0.0,30.0
72,090691062/900,ALMACÉN,300.0,0.0995,0.0,29.85
72,090691062/900,ALMACÉN,300.0,0.0995,0.0,29.85
18,419778AG,SELLADOR MULTICLIMA 750 ML,2.0,14.9,0.0,29.8
31,126524,ASPIRADOR DE CENIZAS 1200W 18 LT,1.0,28.9256,0.0,28.9256
Líneas de factura de compra,MULPPT2525004,FRANCISCO PORCUNA (ARJONA),5.0,12.55,54.0,28.865
72,023298/80,ALMACÉN,300.0,0.096,0.0,28.8
23,DINAK80SP-EMBELLECED,EMBELLECEDOR PLANO 80SW,2.0,34.25,58.0,28.770000000000003
24,DINAK80SP-EMBELLECED,EMBELLECEDOR PLANO 80SW,2.0,34.25,58.0,28.770000000000003
34,6292,CAMISETA BUGATTI TALLA L BLANCO/VERDE,5.0,5.74,0.0,28.700000000000003
71,0214763909/003,ALMACÉN,150.0,0.1913,0.0,28.695
9,CABLE KIT,CABLE KIT  (PYLONTECH),2.0,13.95,0.0,27.9
27,REF_AUTO_2F43B4,Mª JOSÉ (GRANADA),6.0,9.0,50.0,27.0
64,REF_AUTO_2F43B4,CRONOTERMOSTATO RADIO FRECUENCIA FERCO,1.0,43.0,38.0,26.66
32,REF_AUTO_2F43B4,ANTONIO AGUAYO (MARTOS),1.0,57.0,54.0,26.22
72,0972010107,ALMACÉN,4.0,6.55,0.0,26.2
27,REF_AUTO_2F43B4,Mª JOSÉ (GRANADA),10.0,5.2,50.0,26.0
52,REF_AUTO_2F43B4,JESÚS MORALES BUSTOS - LA YEDRA,1.0,56.45,54.0,25.967
57,AS04013,ALMUDENA CASADO,1.0,42.25,40.0,25.35
19,LINK-S GROWATT,GROWATT SHINE LINK-S,10.0,2.433,0.0,24.33
34,6292,PANTALÓN 4 XTREME XXL NEGRO- JESÚS MEDINA,1.0,24.22,0.0,24.22
34,6292,PANTALÓN XXL NEGRO PARA JESÚS MONTILLA,1.0,24.22,0.0,24.22
